Time,Misoperation,Motor current state,Brake,Motor temperature,System fault light,Braking system fault display,Accelerator opening,High Voltage Detection Complete Flag,low-voltage power-off request flag,current motor speed,current motor torque,DC bus voltage,DC bus current,Motor phase current (effective value),Motor maximum drive torque,Motor maximum braking torque,Speed signal,Active drive,Drive Motor Output Power MCU Part Number,Accelerator pedal voltage,Gear switch A voltage,Gear switch B voltage,Gear switch C voltage,Gear switch D voltage,Total number of drive motors,Drive motor serial number,Total number of drive motor failures,Battery voltage,Slow charge wakeup signal,Vehicle model,Power Battery Positive Relay Current Control Command Status,Power Battery Precharge Relay Current Control Command Status,SOC (State of charge),Current status allows maximum feedback power,Current status allows maximum discharge power,BMS self-test counter,Power battery internal total voltage V1,Power battery charge/discharge current,Power battery external total voltage V2,Power battery load voltage V3,Single cell core voltage,Single cell minimum voltage,Power battery positive to GND insulation resistance,Power Battery Negative Resistance to GND Insulation Resistance,Single cell temperature,Single cell minimum temperature,Power battery available energy,Power battery available capacity,Effective cell voltage,Effective temperature collection points,DCDC current status,Slow charge CC voltage,Low battery alert,Driving range ,Mileage value,Prohibited high-voltage power-on flag,Vehicle bootloader flag,On-board charger output voltage instruction,Car charger output current instruction,Car Charger Work Instruction,Car Charger Network Status Control Command,charging ,Power Battery Heater Relay Instruction,High voltage power-down request (VCU) charge self-test counter,High-voltage power-down request (charging),Remote refresh mode enable command,System fault light_BMS,Power Battery System Fault Indicator VCU ,Troubleshooting Level,Collision signal status,Operating mode,Battery pack 1 monomer minimum number,Battery pack 1 monomer maximum number,Battery pack 1 maximum temperature,Battery pack 1 minimum temperature,Temperature sensor 1,Temperature sensor 2,Temperature sensor 3,Temperature sensor 4,Temperature sensor 5,Temperature sensor 6,Temperature sensor 7,Temperature sensor 8,Temperature sensor 9,total milage,The current status of car charger,Car Charge Wakeup Output Signal Status,Slow charge gun connection status,Charging mode,Power supply equipment status,Charger output current,Charger output voltage,Speed,Power battery pack number,Power battery pack number length,Power battery subsystem number,Total number of battery cells,Power battery temperature point total,Total battery power failure,cell voltage nr. 1,cell voltage nr. 2,cell voltage nr. 3,cell voltage nr. 4,cell voltage nr. 5,cell voltage nr. 6,cell voltage nr. 7,cell voltage nr. 8,cell voltage nr. 9,cell voltage nr. 10,cell voltage nr. 11,cell voltage nr. 12,cell voltage nr. 13,cell voltage nr. 14,cell voltage nr. 15,cell voltage nr. 16,cell voltage nr. 17,cell voltage nr. 18,cell voltage nr. 19,cell voltage nr. 20,cell voltage nr. 21,cell voltage nr. 22,cell voltage nr. 23,cell voltage nr. 24,cell voltage nr. 25,cell voltage nr. 26,cell voltage nr. 27,cell voltage nr. 28,cell voltage nr. 29,cell voltage nr. 30,cell voltage nr. 31,Maximum unit voltage number,Maximum temperature number,Lowest temperature number,Lowest cell voltage number,Maximum unit voltage package number,Maximum temperature package number,Minimum temperature package number,Lowest monomer voltage package number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/03/24 12:03:25.000.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/03/24 12:03:35.000.,0,0,0,20,0,0,0,0,0,0,0,2.4,0,0,150.1,50.02,0,0,0,0.02,4.66,0.46,0.48,4.66,1,1,0,12.289,0,2,0,0,97.2,12.79,44.99,1,126.66,0.24,126.66,0.1,4.0926,3.9741,3999,3999,22,21,21.18,167.16,31,9,0,12,0,170,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,0,1,30,1,31,9,0,4.083,4.0925,4.0848,4.0862,4.0851,4.0872,4.0911,4.0926,4.0732,4.0882,4.0852,4.0866,4.0885,4.0896,4.083,4.0851,4.0918,4.084,4.0876,4.0858,4.0817,4.0896,4.0893,4.0822,3.9741,4.0666,4.0902,4.0921,4.0801,4.0867,4.084,2,1,6,25,1,1,1,1
2016/03/24 12:03:54.000.,0,0,0,20,0,0,0,0,0,0,0,2.4,0,0,150.1,50.02,0,0,0,0.04,4.66,0.46,0.48,4.66,1,1,0,12.275,0,2,0,0,97.2,12.88,44.99,1,126.64,0.2,126.64,0.08,4.0926,3.9742,3999,3999,22,21,21.18,167.16,31,9,0,12,0,170,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,0,1,30,1,31,9,0,4.0827,4.0922,4.0847,4.0862,4.0851,4.0877,4.0916,4.0926,4.0736,4.0881,4.0848,4.0866,4.0883,4.0895,4.0828,4.0847,4.0917,4.084,4.0873,4.0863,4.082,4.0898,4.0893,4.0816,3.9742,4.0662,4.0906,4.0917,4.0797,4.0867,4.0837,2,1,6,25,1,1,1,1
2016/03/24 12:03:57.000.,0,0,0,21,0,0,0,0,0,0,0,2.4,0,0,150.1,50.02,0,0,0,0,4.66,0.46,0.48,4.66,1,1,0,12.262,0,2,0,0,97.2,12.81,44.99,1,126.64,0.24,126.64,0.08,4.0927,3.9738,3999,3999,22,21,21.18,167.16,31,9,0,11.9,0,170,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,0,1,30,1,31,9,0,4.0827,4.0922,4.085,4.0863,4.0848,4.0877,4.0912,4.0927,4.0736,4.0878,4.085,4.0865,4.0887,4.0901,4.0832,4.0852,4.092,4.0842,4.0876,4.0856,4.082,4.0901,4.0893,4.082,3.9738,4.0662,4.0906,4.0923,4.0807,4.0868,4.0838,2,1,6,25,1,1,1,1
2016/03/24 12:04:04.000.,0,0,0,21,0,0,0,0,0,0,0,2.4,0,0,150.1,50.02,0,0,0,0.04,4.66,0.46,0.48,4.66,1,1,0,12.262,0,2,0,0,97.2,12.72,44.99,1,126.68,0.24,126.68,0.06,4.0927,3.9738,3999,3999,22,21,21.18,167.16,31,9,0,11.9,0,170,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,0,1,30,1,31,9,0,4.0827,4.0922,4.085,4.0863,4.0848,4.0877,4.0912,4.0927,4.0736,4.0878,4.085,4.0865,4.0887,4.0901,4.0832,4.0852,4.092,4.0842,4.0876,4.0856,4.082,4.0901,4.0893,4.082,3.9738,4.0662,4.0906,4.0923,4.0807,4.0868,4.0838,2,1,6,25,1,1,1,1
2016/03/24 12:04:07.000.,0,1,1,21,0,0,0,1,0,18,28.82,122.8,0.38,97.7,150.1,50.02,0.22,1,1.6,0.02,4.66,4.66,0.44,0.44,1,1,0,13.689,0,2,1,0,97.2,13.24,44.99,3,126.58,4.68,126.58,126.54,4.0906,3.9713,3999,3999,22,21,21.17,167.16,31,9,1,13.4,0,170,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,0,1,30,1,31,9,0,4.0803,4.0898,4.0822,4.0842,4.0823,4.0847,4.089,4.0906,4.0712,4.0858,4.0828,4.0842,4.0863,4.0877,4.0807,4.0825,4.0893,4.0816,4.0851,4.0838,4.0796,4.0873,4.087,4.0792,3.9713,4.0642,4.0882,4.0897,4.078,4.0842,4.0812,8,1,6,25,1,1,1,1
2016/03/24 12:04:17.000.,0,1,0,21,0,0,0,1,0,18,42.98,122.8,0.57,118.7,150.1,50.02,0.22,1,1.6,0.02,4.66,4.66,0.44,0.44,1,1,0,13.716,0,2,1,0,97.2,13.46,44.99,3,126.56,6.36,126.56,126.52,4.0901,3.9715,3999,3999,22,21,21.15,167.15,31,9,1,13.4,0,170,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,0,1,30,1,31,9,0,4.0802,4.0897,4.0825,4.0846,4.0823,4.0851,4.0887,4.0901,4.0712,4.0858,4.0827,4.084,4.0857,4.0872,4.0802,4.0822,4.0893,4.0813,4.0851,4.0836,4.0792,4.0871,4.0868,4.0791,3.9715,4.0638,4.0882,4.0892,4.0778,4.0842,4.0813,8,1,6,25,1,1,1,1
2016/03/24 12:04:27.000.,0,1,1,21,0,0,0,1,0,36,28.6,122.7,0.76,97.4,150.1,50.02,0.54,1,0.8,0.04,4.68,4.66,0.44,0.44,1,1,0,13.743,0,2,1,0,97.2,13.55,44.99,3,126.54,4.36,126.54,126.54,4.0895,3.9707,3999,3999,22,21,21.15,167.13,31,9,1,13.4,0,170,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,0,1,30,1,31,9,0,4.0792,4.0893,4.0818,4.0836,4.0817,4.0842,4.0886,4.0895,4.0705,4.0852,4.0823,4.0833,4.0857,4.0868,4.0797,4.0817,4.0887,4.0816,4.0846,4.0828,4.0791,4.0868,4.0863,4.0787,3.9707,4.0635,4.0877,4.0891,4.0771,4.0838,4.0807,2,1,6,25,1,1,1,1
2016/03/24 12:04:37.000.,0,1,0,22,0,0,0,1,0,6,49.16,122.7,0.22,159.1,150.1,50.02,0,1,1.6,0.02,0.46,4.66,0.46,4.66,1,1,0,13.836,0,2,1,0,97.2,13.62,44.99,3,126.52,5.86,126.52,126.5,4.0875,3.9686,3999,3999,22,21,21.13,167.12,31,9,1,13.5,0,170,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,0,1,30,1,31,9,0,4.0771,4.0865,4.0792,4.0812,4.0792,4.0818,4.0855,4.0875,4.0685,4.0828,4.0796,4.0807,4.083,4.084,4.0771,4.0796,4.0865,4.0781,4.0816,4.0806,4.0765,4.0842,4.084,4.0763,3.9686,4.0608,4.0847,4.0865,4.0747,4.0813,4.0788,8,1,6,25,1,1,1,1
